epoch,train_loss,val_mape,val_r2,elapsed_seconds,val_mape_era0,val_mape_era1,val_r2_era0,val_r2_era1
1,1.376638494786762,1.5722893314577782,0.9144033809447375,0.09534233399608638,1.5810882545553437,1.516017148857068,0.8969387190149001,0.976995472816851
2,1.3352326892671131,1.5114367778147524,0.9182953437490762,0.025482875003945082,1.5361860121198723,1.3531567909796847,0.900666429942456,0.9827550519155801
3,1.2719556249323345,1.470264518223977,0.920302677130609,0.025583791997632943,1.5210067216760126,1.1457504263795637,0.9022564756961512,0.9873613803196852
4,1.2683166350637163,1.44909860803618,0.9207239889851951,0.02566487500735093,1.5120888644134276,1.0462539451584325,0.9024949562470619,0.9887966613654385
5,1.2183410837536766,1.4580522665409388,0.9204462096202116,0.02518820800469257,1.5302039593431314,0.9966170218757552,0.901785520715445,0.9905663309997611
6,1.1887747049331665,1.449994149915723,0.9201830777365836,0.025657541991677135,1.5294623358602786,0.9417673793400761,0.9013187379902545,0.9912332001534588
7,1.4790851360275632,1.4570637453770507,0.9201862142377489,0.025377917001605965,1.5325673077903823,0.9741921252917893,0.9015106894506635,0.9903085108149131
8,1.1214152787412917,1.4449541880589607,0.921001647991476,0.047729582991451025,1.5309065694974522,0.895258725370935,0.9026919909591831,0.98954647242662
9,1.082559774319331,1.4457954378082263,0.9211493346462079,0.025287374999606982,1.5300833802352536,0.9067446432167713,0.9030749524820908,0.9885771815815714
10,1.0758266470261983,1.4744096409648835,0.9198092959704971,0.024905124999349937,1.5547359943194428,0.960694590441539,0.9015519416176833,0.9877722039414288
11,1.0568612998440152,1.484685964055084,0.9190278704726574,0.024973334002424963,1.567527305533876,0.9548866871558317,0.9009219286879713,0.9860332852739292
12,1.0185035665829976,1.5184567006097776,0.9175582081566998,0.024895832990296185,1.5891884524880908,1.0661024734810336,0.8993432213688156,0.9846997802356585
13,1.031768872624352,1.5028965354323454,0.9165309155394002,0.02485908400558401,1.5919016082932151,0.9336780462058547,0.89796132955232,0.985136848351516
14,1.1624591875643957,1.5590783695899404,0.9157298688303117,0.024785874993540347,1.63033969429164,1.1033373395209332,0.8973405874362714,0.9832308613493967
15,0.9460834420862652,1.5492249250146135,0.9151171912434889,0.0262658330029808,1.639843222573822,0.9696893010894448,0.8966016710496721,0.9830722579483943
16,1.0047550016925448,1.5666187265469433,0.9143822719203877,0.024649708007927984,1.6473499921680925,1.0503141208302926,0.895894823576457,0.9819991557805029
17,0.9504114162354242,1.5835872117737404,0.9121196790607353,0.025480625001364388,1.6721411298321904,1.0172540148883054,0.8927957210951059,0.9832348215146846
18,1.0791737181799752,1.5786366812433454,0.9132437533405816,0.025095958000747487,1.6679805879135503,1.0072512316083133,0.8942358673706261,0.9831103826282008
19,0.9132095463573933,1.595682701433375,0.9114693258755768,0.02489770800457336,1.7051837749173282,0.8953851384546031,0.8920404348297315,0.9829234923145428
20,1.0381666336740767,1.6029916850287393,0.9109966085474716,0.02504091699665878,1.7094955787063442,0.921862132439406,0.8914370106880156,0.9829649349585077
21,0.8954883927390689,1.6080976453544622,0.9110341583581691,0.02499662499758415,1.7125249943471823,0.9402483204010232,0.8917241615497364,0.9817850550856146
22,0.8508035696688152,1.6135941633249546,0.912946154720413,0.02550016698660329,1.7108548492450095,0.9915781487199536,0.8941868573993957,0.9815090756602202
23,0.8399925948608489,1.5969697670152998,0.910943500942601,0.024825500004226342,1.7059273878595653,0.9001477732438319,0.8915411996364063,0.9821237089076134
24,0.7975999834459453,1.6053260344812974,0.91087242788767,0.02482195799530018,1.7104771876236218,0.9328477295013164,0.891561356144078,0.9815845737853179
25,0.8962888788609278,1.6109432513558144,0.9091752133163787,0.02455362500040792,1.7263566486444943,0.872834315207281,0.8894006787176847,0.9817047479206169
26,0.7979125295366559,1.622731052083937,0.9106439156402878,0.024517749989172444,1.7161410516287927,1.025341520111022,0.891300731469264,0.9814517834241945
27,0.7616966098901772,1.6199428912889207,0.9076878230873662,0.024873000002116896,1.7340020026025094,0.8904950863764363,0.8874840667795404,0.981923465921955
28,0.7702935905683608,1.6589205126724003,0.9079318295317512,0.0247326249955222,1.7623650004248825,0.9973569282088489,0.8877346046022463,0.9822017889312121
29,0.7650443074249086,1.6303675606779244,0.9091774167374341,0.024899124997318722,1.7352867005525752,0.9593730614795758,0.88931170007154,0.9821560271762704
30,0.7516790486517406,1.6040246636987272,0.9103060042839246,0.024611375003587455,1.7114514531098124,0.9169928709534165,0.8905850984822103,0.9828796724662315
31,0.739160201379231,1.5950114461059977,0.9105213291643109,0.02474091699696146,1.7063820784283958,0.8827574021836843,0.8906347276923006,0.9839685969752578
32,0.7496388284933,1.6310411958484403,0.9111254892083882,0.024663042000611313,1.7203726916039659,1.0597351183421715,0.8915318968346033,0.9832961096005237
33,0.7654020658561161,1.621890751137774,0.9091123820908512,0.02453266701195389,1.72197803340381,0.9817976668782387,0.8886407039723537,0.9850536846995643
