feature,mean_abs_shap,mean_signed_shap
gap_to_session_best,0.14269837263066798,0.020167150453889435
avg_run_length,0.02282241974665761,-0.008795518964131836
rainfall_share,0.020176488404452728,0.0036227069294254635
n_runs,0.020090655879013507,-0.0006462748595695206
best_lap_number,0.01830425162755802,-0.0028929769796563853
compound_on_best_lap,0.016207162660995634,0.013128446467817455
tyre_life_on_best_lap,0.014729769482046556,-0.014729769482046556
era,0.010859724852746508,0.010645289188371671
braking_events,0.009235027328865416,-0.0074028091122400755
track_temp_mean,0.0072754157470705915,0.003927291282333173
throttle_full_pct,0.007112265042854475,0.005258249366837474
best_sector3_time,0.007098562566237702,0.007098562566237702
best_lap_session_position,0.00612270214778086,0.0024454175016201994
lap_time_std,0.0057539963408162935,0.0030580964235419365
humidity_mean,0.004829047682873205,0.0036787289542374187
best_lap_time,0.0047839857890870415,-0.0019166613087463025
longest_run_length,0.0038752022648944006,-0.0015284573712183614
long_run_avg_pace,0.002570498578244493,0.0021360874110989006
best_sector1_time,0.002096480427512104,0.0007313043675970924
avg_speed,0.0011290689334343873,0.0007177619984900135
median_flying_lap_time,0.0010311228178778488,-6.425881966343712e-05
throttle_mean,0.0005756502146808886,0.0003715621646752118
max_speed,0.00034521461858105616,0.00034521461858105616
wind_speed_mean,0.0002855574029456501,0.00011175634334527159
n_flying_laps,0.00024249191569272887,0.00024249191569272887
air_temp_mean,0.0001988650827770196,-0.0001988650827770196
best_sector2_time,0.00010899913346549318,-0.00010899913346549318
